,regime,Bull,Bear,Crisis
2011-09-07,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-09-08,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-09,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-12,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-13,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-14,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-15,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-16,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-19,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-20,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-21,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-22,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-23,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-26,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-27,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-28,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-29,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-09-30,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-10-03,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-10-04,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-10-05,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-10-07,Crisis,5.6123744634989736e-14,3.3659340605115237e-10,0.999999999663487
2011-10-10,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-11,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-12,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-13,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-14,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-17,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-18,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-19,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-20,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-21,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-24,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-25,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-28,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-10-31,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-11-01,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-11-02,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-11-03,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-11-04,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-11-08,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
