date,Strategy,asset,weight
2011-06-14,RegimeShift,equity,0.2007577933615276
2011-06-15,RegimeShift,equity,0.19979256681779825
2011-06-16,RegimeShift,equity,0.19708404164175403
2011-06-17,RegimeShift,equity,0.19611650386808288
2011-06-20,RegimeShift,equity,0.19120241616654549
2011-06-21,RegimeShift,equity,0.19142199347727334
2011-06-22,RegimeShift,equity,0.1914337557909217
2011-06-23,RegimeShift,equity,0.1930426016189646
2011-06-24,RegimeShift,equity,0.1990191077682524
2011-06-27,RegimeShift,equity,0.20225413562170602
2011-06-28,RegimeShift,equity,0.20299994867552734
2011-06-29,RegimeShift,equity,0.20433981813483632
2011-06-30,RegimeShift,equity,0.20635463677634694
2011-07-01,RegimeShift,equity,0.207994257628489
2011-07-04,RegimeShift,equity,0.2089978730424336
2011-07-05,RegimeShift,equity,0.20812592067186544
2011-07-06,RegimeShift,equity,0.20595525934869194
2011-07-07,RegimeShift,equity,0.20000001893290928
2011-07-08,RegimeShift,equity,0.19852180904909192
2011-07-11,RegimeShift,equity,0.19527952063991785
2011-07-12,RegimeShift,equity,0.19196482522642824
2011-07-13,RegimeShift,equity,0.19199169916359926
2011-07-14,RegimeShift,equity,0.19019450028462218
2011-07-15,RegimeShift,equity,0.1912356628702497
2011-07-18,RegimeShift,equity,0.18841203562758999
2011-07-19,RegimeShift,equity,0.18971122013752523
2011-07-20,RegimeShift,equity,0.1903480299935996
2011-07-21,RegimeShift,equity,0.18892848949143326
2011-07-22,RegimeShift,equity,0.19281377751891024
2011-07-25,RegimeShift,equity,0.19132835692075606
2011-07-26,RegimeShift,equity,0.1897399537190597
2011-07-27,RegimeShift,equity,0.18864662471158422
2011-07-28,RegimeShift,equity,0.1872796379522575
2011-07-29,RegimeShift,equity,0.1870928585228733
2011-08-01,RegimeShift,equity,0.18781113329928206
2011-08-02,RegimeShift,equity,0.1850735074024537
2011-08-03,RegimeShift,equity,0.17997820719634303
2011-08-04,RegimeShift,equity,0.17744248367914245
2011-08-05,RegimeShift,equity,2.656534001795002e-07
2011-08-08,RegimeShift,equity,2.528816346896729e-07
2011-08-09,RegimeShift,equity,2.425031679329908e-07
2011-08-10,RegimeShift,equity,2.487394861778861e-07
2011-08-11,RegimeShift,equity,2.4286198924613677e-07
2011-08-12,RegimeShift,equity,2.4298269378332553e-07
2011-08-16,RegimeShift,equity,2.394922666950609e-07
2011-08-17,RegimeShift,equity,2.378735887662734e-07
2011-08-18,RegimeShift,equity,2.312766291176258e-07
2011-08-19,RegimeShift,equity,2.1902492236434606e-07
2011-08-22,RegimeShift,equity,2.2106650022592382e-07
2011-08-23,RegimeShift,equity,2.2359635753731721e-07
2011-08-24,RegimeShift,equity,2.23395789880793e-07
2011-08-25,RegimeShift,equity,2.3174583163050047e-07
2011-08-26,RegimeShift,equity,2.2205013281420548e-07
2011-08-29,RegimeShift,equity,2.2760995752969614e-07
2011-08-30,RegimeShift,equity,2.3368510460133312e-07
2011-09-02,RegimeShift,equity,2.2980765892465096e-07
2011-09-05,RegimeShift,equity,2.247155783208398e-07
2011-09-06,RegimeShift,equity,2.281909376672847e-07
2011-09-07,RegimeShift,equity,2.3552250149286963e-07
2011-09-08,RegimeShift,equity,0.021951085073990864
2011-09-09,RegimeShift,equity,0.02139985642845657
2011-09-12,RegimeShift,equity,0.02094707974036945
2011-09-13,RegimeShift,equity,0.020955100316241333
2011-09-14,RegimeShift,equity,0.021182981307258285
2011-09-15,RegimeShift,equity,0.02150495346320306
2011-09-16,RegimeShift,equity,0.021652848552071523
2011-09-19,RegimeShift,equity,0.02128972801992097
2011-09-20,RegimeShift,equity,0.021771663727239432
2011-09-21,RegimeShift,equity,0.021697107738982955
2011-09-22,RegimeShift,equity,0.020855424994612768
2011-09-23,RegimeShift,equity,0.02069315743328765
2011-09-26,RegimeShift,equity,0.020884301568205442
2011-09-27,RegimeShift,equity,0.021322461180139134
2011-09-28,RegimeShift,equity,0.021289175070223508
2011-09-29,RegimeShift,equity,0.021673870602075145
2011-09-30,RegimeShift,equity,0.021306001920757257
2011-10-03,RegimeShift,equity,0.020824861378601033
2011-10-04,RegimeShift,equity,0.020476732494939566
2011-10-05,RegimeShift,equity,0.02056118084906822
2011-10-07,RegimeShift,equity,0.021043942740153327
2011-10-10,RegimeShift,equity,0.012700938416533343
2011-10-11,RegimeShift,equity,0.012673578219593947
2011-10-12,RegimeShift,equity,0.012961641042059917
2011-10-13,RegimeShift,equity,0.012922510477087982
2011-10-14,RegimeShift,equity,0.0130557480316701
2011-10-17,RegimeShift,equity,0.013017124677918292
2011-10-18,RegimeShift,equity,0.012830831633066803
2011-10-19,RegimeShift,equity,0.013099721600331413
2011-10-20,RegimeShift,equity,0.013001665124897538
2011-10-21,RegimeShift,equity,0.012884870148900092
2011-10-24,RegimeShift,equity,0.012938918400511007
2011-10-25,RegimeShift,equity,0.01319057826406052
2011-10-28,RegimeShift,equity,0.013547477201886551
2011-10-31,RegimeShift,equity,0.013499737259035957
2011-11-01,RegimeShift,equity,0.01330623212153798
2011-11-02,RegimeShift,equity,0.013258507262956963
2011-11-03,RegimeShift,equity,0.0132626861737441
2011-11-04,RegimeShift,equity,0.013282174200734735
2011-11-08,RegimeShift,equity,0.01321615043614189
2011-11-09,RegimeShift,equity,0.013033690696993625
2011-11-11,RegimeShift,equity,0.012924556840556597
2011-11-14,RegimeShift,equity,0.013101432195746993
2011-11-15,RegimeShift,equity,0.01290882255716315
2011-11-16,RegimeShift,equity,0.012781337939950056
2011-11-17,RegimeShift,equity,0.012554034051398266
2011-11-18,RegimeShift,equity,0.012524485955197695
2011-11-21,RegimeShift,equity,0.012199305406338798
2011-11-22,RegimeShift,equity,0.012282932498721756
2011-11-23,RegimeShift,equity,0.012028465443089038
2011-11-24,RegimeShift,equity,0.012018111252454071
