date,posterior_maximum_probability,posterior_entropy
2023-09-18,0.9999999577098616,7.603495641591136e-07
2023-09-20,0.9999999577098616,7.603495641591136e-07
2023-09-21,0.9999999577098616,7.603495641591136e-07
2023-09-22,0.9999999577098616,7.603495641591136e-07
2023-09-25,0.9999999577098616,7.603495641591136e-07
2023-09-26,0.9999999577098616,7.603495641591136e-07
2023-09-27,0.9999999577098616,7.603495641591136e-07
2023-09-28,0.9999999577098616,7.603495641591136e-07
2023-09-29,0.9999999577098616,7.603495641591136e-07
2023-10-03,0.9999999577098616,7.603495641591136e-07
2023-10-04,0.9999999577098616,7.603495641591136e-07
2023-10-05,0.9999999577098616,7.603495641591136e-07
2023-10-06,0.9999999577098616,7.603495641591136e-07
2023-10-09,0.9999999577098616,7.603495641591136e-07
2023-10-10,0.9999999577098616,7.603495641591136e-07
2023-10-11,0.9999999577098616,7.603495641591136e-07
2023-10-12,0.9999999577098616,7.603495641591136e-07
2023-10-13,0.9999999577098616,7.603495641591136e-07
2023-10-16,0.9999999577098616,7.603495641591136e-07
2023-10-17,0.9999398600636532,0.0006446283604114174
2023-10-18,0.9999398600636532,0.0006446283604114174
2023-10-19,0.9999398600636532,0.0006446283604114174
2023-10-20,0.9999398600636532,0.0006446283604114174
2023-10-23,0.9999398600636532,0.0006446283604114174
2023-10-25,0.9999398600636532,0.0006446283604114174
2023-10-26,0.9999398600636532,0.0006446283604114174
2023-10-27,0.9999398600636532,0.0006446283604114174
2023-10-30,0.9999398600636532,0.0006446283604114174
2023-10-31,0.9999398600636532,0.0006446283604114174
2023-11-01,0.9999398600636532,0.0006446283604114174
2023-11-02,0.9999398600636532,0.0006446283604114174
2023-11-03,0.9999398600636532,0.0006446283604114174
2023-11-06,0.9999398600636532,0.0006446283604114174
2023-11-07,0.9999398600636532,0.0006446283604114174
2023-11-08,0.9999398600636532,0.0006446283604114174
2023-11-09,0.9999398600636532,0.0006446283604114174
2023-11-10,0.9999398600636532,0.0006446283604114174
2023-11-13,0.9999398600636532,0.0006446283604114174
2023-11-15,0.9999398600636532,0.0006446283604114174
2023-11-16,0.9999398600636532,0.0006446283604114174
2023-11-17,0.9999999994406608,1.2502626301140802e-08
2023-11-20,0.9999999994406608,1.2502626301140802e-08
2023-11-21,0.9999999994406608,1.2502626301140802e-08
2023-11-22,0.9999999994406608,1.2502626301140802e-08
2023-11-23,0.9999999994406608,1.2502626301140802e-08
2023-11-24,0.9999999994406608,1.2502626301140802e-08
2023-11-28,0.9999999994406608,1.2502626301140802e-08
2023-11-29,0.9999999994406608,1.2502626301140802e-08
2023-11-30,0.9999999994406608,1.2502626301140802e-08
2023-12-01,0.9999999994406608,1.2502626301140802e-08
