date,regime,converged,n_iter,log_likelihood,turnover,cost,n_restarts_attempted,n_restarts_converged,best_seed
2021-06-04,Bear,True,200,-1942.8084435346118,0.21747602521918824,0.0004349520504383765,3,3,44
2021-07-05,Bear,True,200,-1897.0384383498897,0.21675874062590508,0.00043351748125181023,3,3,44
2021-08-04,Bear,True,200,-1897.6306815517762,0.0059902987584271325,1.1980597516854265e-05,3,3,44
2021-09-03,Bear,True,200,-1875.8978732156409,0.014827652387550058,2.9655304775100116e-05,3,3,44
2021-10-05,Bear,True,200,-1783.4791658565182,0.006447148517775605,1.289429703555121e-05,3,3,44
2021-11-04,Bear,True,200,-1717.3806518175472,0.0007439048117441453,1.4878096234882904e-06,3,3,44
2021-12-07,Crisis,True,200,-1753.7097317037671,0.36117438743869007,0.0007223487748773802,3,3,44
2022-01-05,Crisis,True,200,-1726.7915872454823,0.007243760481178686,1.4487520962357372e-05,3,3,44
2022-02-04,Bear,True,200,-1752.6541047984613,0.3775976943232693,0.0007551953886465385,3,3,44
2022-03-08,Crisis,True,200,-1686.454369967483,0.32683912924406494,0.00065367825848813,3,3,44
2022-04-07,Crisis,True,200,-1630.843836472427,0.010099330932699716,2.0198661865399434e-05,3,3,44
2022-05-11,Crisis,True,200,-1669.360995654313,0.005468014132734459,1.093602826546892e-05,3,3,44
2022-06-09,Crisis,True,200,-1569.8400044588093,0.005030962069233067,1.0061924138466134e-05,3,3,44
2022-07-08,Bear,True,200,-1663.7748526801922,0.6971686844232492,0.0013943373688464985,3,3,44
2022-08-08,Bull,True,200,-1694.2400066499104,0.39162976082226686,0.0007832595216445337,3,3,44
2022-09-09,Bull,True,200,-1769.266305414216,0.20886156745195808,0.0004177231349039162,3,3,44
2022-10-11,Bull,True,200,-1914.1072375691251,0.011512589430334452,2.3025178860668908e-05,3,3,44
2022-11-11,Bull,True,200,-1827.82436268531,0.013969349709542958,2.7938699419085917e-05,3,3,44
2022-12-12,Bull,True,200,-1733.9595479908073,0.20334535576267093,0.0004066907115253419,3,3,44
2023-01-10,Bull,True,200,-1715.5061830340114,0.19999998720708512,0.0003999999744141703,3,3,44
2023-02-09,Crisis,True,200,-1729.5892207976608,0.5278873999572156,0.001055774799914431,3,3,44
2023-03-13,Bear,True,200,-1825.9194202524243,0.5617474999281171,0.0011234949998562343,3,3,44
2023-04-17,Crisis,True,200,-1780.6551585447094,0.5871733553471457,0.0011743467106942911,3,3,44
2023-05-17,Bear,True,200,-1735.4121470648347,0.7505529969673495,0.0015011059939346986,3,3,44
2023-06-15,Bear,True,200,-1795.5392249339611,0.18846523985813737,0.0003769304797162747,3,3,44
2023-07-17,Bull,True,200,-1881.5214271857171,0.39114840316534344,0.0007822968063306868,3,3,44
2023-08-16,Bear,True,200,-1869.6112160352286,0.44727692317976625,0.0008945538463595325,3,3,44
2023-09-14,Bear,True,200,-1829.4818510532334,0.027020743907114543,5.4041487814229095e-05,3,3,44
2023-10-17,Crisis,True,200,-1719.414796423621,0.7389203505412287,0.0014778407010824575,3,3,44
2023-11-17,Crisis,True,200,-1780.8625139589624,0.010520502522248999,2.1041005044497996e-05,3,3,44
2023-12-19,Bull,True,200,-1915.2610247189298,0.7769089515482432,0.0015538179030964866,3,3,44
2024-01-18,Bull,True,200,-1838.4597146081458,0.0003724580518217281,7.449161036434561e-07,3,3,44
2024-02-20,Bull,True,200,-1906.020978368405,0.005122133887754892,1.0244267775509784e-05,3,3,44
2024-03-21,Bull,True,200,-1953.4140366175614,0.013810767302487278,2.7621534604974556e-05,3,3,44
2024-04-25,Bear,True,200,-1957.8611221028257,0.3925794007780915,0.000785158801556183,3,3,44
2024-05-28,Crisis,True,200,-2035.9688496751398,0.7469222561228339,0.001493844512245668,3,3,44
2024-06-27,Crisis,True,200,-1803.090404753882,0.0038097815531117404,7.619563106223481e-06,3,3,44
2024-07-29,Bull,True,200,-1762.8973720518845,0.7959876636615426,0.0015919753273230856,3,3,44
2024-08-28,Bull,True,200,-1790.6631418028592,0.003380873809761141,6.761747619522281e-06,3,3,44
2024-09-26,Bull,True,200,-1750.2933117198445,0.0004199402459776587,8.398804919553174e-07,3,3,44
2024-10-28,Bear,True,200,-1795.6971765328847,0.5819697565989375,0.001163939513197875,3,3,44
2024-11-28,Bear,True,200,-1830.4918560492283,0.13303389036632235,0.00026606778073264464,3,3,44
2024-12-30,Bear,True,200,-1747.9065373630672,0.1321314799587208,0.00026426295991744157,3,3,44
2025-01-28,Bear,True,200,-1692.6438626816669,0.01309343148888316,2.618686297776632e-05,3,3,44
2025-02-25,Bear,True,200,-1621.209960360496,0.19999829765966554,0.00039999659531933106,3,3,44
2025-03-28,Bear,True,200,-1609.311894558469,0.19999061012341923,0.00039998122024683844,3,3,44
2025-05-05,Crisis,True,200,-1706.7145437194313,0.7471399224945401,0.0014942798449890803,3,3,44
2025-06-03,Crisis,True,200,-1666.6958838787882,0.011932108151656063,2.386421630331213e-05,3,3,44
2025-07-02,Bull,True,200,-1675.0326804410115,0.5647502972897205,0.001129500594579441,3,3,44
