date,Bull,Bear,Crisis
2016-02-18,0.9998861349238412,9.670498917922131e-05,1.716008702273767e-05
2016-02-19,0.9998861349238412,9.670498917922131e-05,1.716008702273767e-05
2016-02-22,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-02-23,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-02-24,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-02-25,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-02-26,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-02-29,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-01,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-02,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-03,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-04,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-08,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-09,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-10,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-11,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-14,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-15,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-16,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-17,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-18,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-21,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-22,3.4748590738921235e-31,7.63468765793007e-11,0.9999999999236024
2016-03-23,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-03-28,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-03-29,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-03-30,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-03-31,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-01,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-04,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-05,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-06,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-07,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-08,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-11,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-12,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-13,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-18,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-20,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-21,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-22,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-25,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-26,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-27,7.224788605899456e-16,4.08106577212627e-05,0.9999591893423699
2016-04-28,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-04-29,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-02,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-03,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-04,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-05,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-06,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-09,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-10,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-11,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-12,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-13,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-16,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-17,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-18,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-19,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-20,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-23,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-24,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-25,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-26,0.9999260671449067,7.393211212769376e-05,7.429053035005641e-10
2016-05-27,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-05-30,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-05-31,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-01,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-02,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-03,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-06,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-07,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-08,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-09,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-10,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-13,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-14,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-15,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-16,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-17,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-20,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-21,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-22,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-23,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-24,1.0,2.7097682179601408e-14,3.799408445810921e-18
2016-06-27,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-06-28,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-06-29,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-06-30,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-01,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-04,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-05,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-07,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-08,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-11,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-12,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-13,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-14,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-15,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-18,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-19,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-20,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-21,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-22,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-25,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-26,0.999999999984766,3.931489226043273e-15,1.517748097195496e-11
2016-07-27,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-07-28,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-07-29,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-01,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-02,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-03,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-04,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-05,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-08,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-09,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-10,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-11,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-12,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-16,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-17,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-18,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-19,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-22,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-23,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-24,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-25,0.9999999792346446,2.076527740467275e-08,2.3351191087861716e-15
2016-08-26,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-08-29,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-08-30,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-08-31,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-01,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-02,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-06,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-07,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-08,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-09,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-12,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-14,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-15,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-16,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-19,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-20,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-21,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-22,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-23,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-26,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-27,1.0,1.4478699700215294e-46,6.0206520514506316e-55
2016-09-28,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-09-29,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-09-30,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-03,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-04,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-05,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-06,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-07,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-10,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-13,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-14,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-17,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-18,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-19,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-20,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
